,MSRP
483,35725
484,43400
485,32820
486,38645
487,37825
488,43620
489,36115
490,35950
491,33210
492,38855
493,41585
494,35085
495,41310
496,36690
497,44360
498,39595
499,41850
500,42325
501,35885
502,38565
503,36915
504,34010
505,60700
506,71400
507,63000
508,69100
509,63200
510,72500
511,60900
512,63200
513,60900
514,72500
515,67200
516,57900
517,57100
518,52250
519,59400
520,64900
521,49950
522,55600
523,57350
524,58150
525,55850
526,52500
527,50200
528,68600
529,66300
530,59650
531,4155
532,2427
533,3245
534,4701
535,3176
536,3613
537,5140
538,2692
539,31800
540,31800
541,31800
542,26595
543,18700
544,19700
545,22800
546,24700
547,22495
548,17495
549,20345
550,17700
551,20400
552,16845
553,26695
554,21295
555,20395
556,17745
557,22575
558,24495
559,16995
560,20395
561,19700
562,17900
563,21395
564,19995
565,19390
566,17485
567,20885
568,21490
569,15990
570,19345
571,23095
572,24695
573,21695
574,20695
575,21880
576,23395
577,24795
578,20795
579,19495
580,23695
581,20995
582,22995
583,24635
584,25135
585,29235
586,23335
587,22735
588,27035
589,20000
590,27335
591,25235
592,27035
593,25135
594,25235
595,23890
596,23335
597,19995
598,248500
599,205840
600,2323
601,2170
602,2443
603,2304
604,184900
605,214670
606,224670
607,217890
608,228339
609,228339
610,217890
611,366000
612,455500
613,405500
614,372500
615,412000
616,379050
617,418950
618,320580
619,310543
620,310543
621,320580
622,410000
623,24470
624,20940
625,19940
626,22070
627,20140
628,24670
629,21140
630,22270
631,24770
632,22370
633,21240
634,92600
635,81300
636,78300
637,89600
638,93900
639,82500
640,90900
641,79500
642,91200
643,82800
644,94200
645,79800
646,94900
647,86600
648,79100
649,76100
650,90400
651,83600
652,87400
653,97900
654,87800
655,77300
656,99200
657,96200
658,80300
659,84800
660,91700
661,88700
662,92000
663,77600
664,89000
665,80600
666,85100
667,88100
668,96500
669,99500
670,2960
671,3108
672,4623
673,3211
674,2000
675,2000
676,2000
677,2000
678,2000
679,2000
680,2000
681,2000
682,313088
683,313088
684,313088
685,2080
686,2234
687,2000
688,2146
689,22935
690,19935
691,20935
692,18735
693,19985
694,18785
695,21885
696,456500
697,417000
698,506500
699,423500
700,463000
701,470350
702,430450
703,265500
704,280225
705,24895
706,22895
707,23845
708,21190
709,29895
710,22995
711,24995
712,21495
713,30195
714,23945
715,30695
716,21945
717,24195
718,22995
719,25245
720,141200
721,78000
722,91000
723,94000
724,81000
725,74000
726,87300
727,90300
728,82500
729,94400
730,81300
731,97400
732,94600
733,97600
734,84500
735,81500
736,53900
737,66300
738,2000
739,2000
740,2000
741,2000
742,2000
743,2000
744,2000
745,2000
746,2000
747,2000
748,2000
749,2000
750,2000
751,2000
752,2000
753,2000
754,2000
755,2000
756,2000
757,2000
758,2000
759,4784
760,5858
761,8488
762,6954
763,5680
764,7624
765,6693
766,2000
767,2000
768,2000
769,2000
770,2000
771,2000
772,2000
773,2000
774,2000
775,2000
776,2000
777,2000
778,2000
779,2000
780,2000
781,2000
782,2000
783,2000
784,2000
785,2000
786,2000
787,2000
788,2000
789,2000
790,2000
791,2000
792,2000
793,2000
794,2091
795,2000
796,2000
797,2000
798,26255
799,26975
800,26950
801,22990
802,26950
803,22990
804,28900
805,44080
806,46080
807,37115
808,39490
809,34340
810,44080
811,40840
812,31180
813,32395
814,34340
815,34975
816,37115
817,34975
818,30250
819,32395
820,29830
821,46080
822,37810
823,51330
824,38305
825,44885
826,30360
827,42130
828,43605
829,31790
830,35315
831,37140
832,34150
833,44455
834,36395
835,47345
836,32395
837,28900
838,30330
839,39990
840,38115
841,45080
842,35340
843,36975
844,37020
845,28900
846,38115
847,32395
848,39990
849,30330
850,37020
851,35340
852,36975
853,45080
854,37250
855,35875
856,33380
857,40245
858,48010
859,39400
860,43270
861,39650
862,38380
863,40765
864,42000
865,49165
866,38525
867,49565
868,43435
869,48030
870,39190
871,41190
872,42770
873,40400
874,46530
875,49105
876,42615
877,45345
878,2000
879,2000
880,2000
881,2000
882,2122
883,2000
884,2145
885,2084
886,2063
887,2172
888,2000
889,2000
890,2000
891,2000
892,2000
893,2000
894,2000
895,2000
896,2000
897,2000
898,2000
899,2000
900,2078
901,2000
902,2000
903,2000
904,2117
905,2000
906,2115
907,2000
908,2000
909,2268
910,2000
911,2000
912,2000
913,2000
914,2000
915,2000
916,2000
917,2000
918,2000
919,2000
920,96200
921,132800
922,120900
923,105630
924,98900
925,163000
926,102930
927,151100
928,91030
929,84300
930,114200
931,182700
932,194600
933,130400
934,110800
935,117530
936,126100
937,101600
938,116200
939,102930
940,120900
941,105630
942,126100
943,91030
944,98900
945,132800
946,84300
947,151100
948,104600
949,102930
950,132800
951,114200
952,88800
953,194600
954,96200
955,117530
956,94800
957,110800
958,117530
959,98500
960,163000
961,182700
962,130400
963,175900
964,159200
965,108600
966,200400
967,115700
968,110300
969,122600
970,103400
971,96300
972,101700
973,171500
974,188100
975,108600
976,122600
977,89400
978,6294
979,7419
980,9400
981,2000
982,2000
983,2000
984,2000
985,2000
986,2000
987,2000
988,2000
989,2000
990,2000
991,2000
992,2000
993,2000
994,2000
995,2000
996,2000
997,2000
998,2667
999,3083
1000,3578
1001,3047
1002,2000
1003,2000
1004,2000
1005,2000
1006,2000
1007,2000
1008,4651
1009,3839
1010,4191
1011,4878
1012,4723
1013,5576
1014,35150
1015,32600
1016,33200
1017,44050
1018,29900
1019,41650
1020,38150
1021,35750
1022,41050
1023,47050
1024,38350
1025,35600
1026,38600
1027,41150
1028,32450
1029,34200
1030,39600
1031,37700
1032,33200
1033,43050
1034,39300
1035,36600
1036,39750
1037,45450
1038,48450
1039,36700
1040,34400
1041,35900
1042,43100
1043,36900
1044,33600
1045,30900
1046,40100
1047,42300
1048,42050
1049,43150
1050,40150
1051,37450
1052,37600
1053,34450
1054,40300
1055,49250
1056,43550
1057,31200
1058,40850
1059,46550
1060,34200
1061,51400
1062,44000
1063,47000
1064,45000
1065,39700
1066,43800
1067,35500
1068,38500
1069,37600
1070,36400
1071,42900
1072,37600
1073,37000
1074,38000
1075,38000
1076,35900
1077,40100
1078,39100
1079,37300
1080,34900
1081,48000
1082,43200
1083,41100
1084,45900
1085,39400
1086,38700
1087,37850
1088,42350
1089,43800
1090,41500
1091,47900
1092,50200
1093,40500
1094,42800
1095,41200
1096,48600
1097,42200
1098,58700
1099,50450
1100,44800
1101,60100
1102,48350
1103,56300
1104,46900
1105,62500
1106,52100
1107,49900
1108,46200
1109,59500
1110,61600
1111,57400
1112,63700
1113,48400
1114,53800
1115,61600
1116,67600
1117,58600
1118,49800
1119,51600
1120,47600
1121,65900
1122,69750
1123,68300
1124,72150
1125,70400
1126,68300
1127,73050
1128,70950
1129,68800
1130,71350
1131,85200
1132,137900
1133,90500
1134,81500
1135,91500
1136,82500
1137,43850
1138,45850
1139,33975
1140,40820
1141,42820
1142,42095
1143,44095
1144,38555
1145,47690
1146,35975
1147,49690
1148,36555
1149,36755
1150,44295
1151,42295
1152,30975
1153,36175
1154,49890
1155,41020
1156,34175
1157,47890
1158,38755
1159,43020
1160,38350
1161,43750
1162,35070
1163,32450
1164,37070
1165,41450
1166,34450
1167,29070
1168,44920
1169,46920
1170,41750
1171,17395
1172,14895
1173,15645
1174,16095
1175,14645
1176,16395
1177,14745
1178,14995
1179,15745
1180,17495
1181,16495
1182,16195
1183,15745
1184,17495
1185,16195
1186,16495
1187,14745
1188,14995
1189,2000
1190,2000
1191,2000
1192,34020
1193,36220
1194,29670
1195,34770
1196,32570
1197,29990
1198,32890
1199,36540
1200,34340
1201,35090
1202,31905
1203,29155
1204,34905
1205,35055
1206,32055
1207,29305
1208,29605
1209,32905
1210,35955
1211,39780
1212,30775
1213,32270
1214,32550
1215,23775
1216,26300
1217,30195
1218,25450
1219,32550
1220,24665
1221,25030
1222,30270
1223,25830
1224,28495
1225,30495
1226,30775
1227,22105
1228,28420
1229,33630
1230,24625
1231,23865
1232,22905
1233,32745
1234,28670
1235,26850
1236,25065
1237,30745
1238,27380
1239,34680
1240,27850
1241,24725
1242,24265
1243,26380
1244,30845
1245,25580
1246,23005
1247,23875
1248,28845
1249,26065
1250,26000
1251,25725
1252,24005
1253,31025
1254,34225
1255,33025
1256,22205
1257,31025
1258,30670
1259,26215
1260,24025
1261,30995
1262,22355
1263,34830
1264,26150
1265,32895
1266,25215
1267,27530
1268,28820
1269,24155
1270,34375
1271,30895
1272,33175
1273,31175
1274,27000
1275,28000
1276,24415
1277,28995
1278,30820
1279,31175
1280,25875
1281,26530
1282,23155
1283,26215
1284,25730
1285,25415
1286,24875
1287,2000
1288,2000
1289,2000
1290,2000
1291,2000
1292,61400
1293,61900
1294,62100
1295,84300
1296,84300
1297,84300
1298,88900
1299,88900
1300,17049
1301,16349
1302,15949
1303,13449
1304,15449
1305,17349
1306,15649
1307,16849
1308,15149
1309,16049
1310,16549
1311,17849
1312,14349
1313,17549
1314,16599
1315,15499
1316,15999
1317,14099
1318,16099
1319,15299
1320,14599
1321,16999
1322,17099
1323,14999
1324,16199
1325,15099
1326,14299
1327,16299
1328,17199
1329,15299
1330,16199
1331,2000
1332,2000
1333,2000
1334,2000
1335,2000
1336,2000
1337,2000
1338,2000
1339,2000
1340,2000
1341,2000
1342,2000
1343,22395
1344,21080
1345,19605
1346,21080
1347,17805
1348,17805
1349,19855
1350,22145
1351,21585
1352,18085
1353,21585
1354,20035
1355,22935
1356,22685
1357,18085
1358,20035
1359,23335
1360,18485
1361,21985
1362,20435
1363,18485
1364,20435
1365,23085
1366,21985
1367,2000
1368,2234
1369,2358
1370,39950
1371,41000
1372,46950
1373,39950
1374,39950
1375,40250
1376,47250
1377,40250
1378,40700
1379,43300
1380,49200
1381,44500
1382,42400
1383,49800
1384,42700
1385,44800
1386,117300
1387,122200
1388,122500
1389,135200
1390,132200
1391,131300
1392,128300
1393,132200
1394,131300
1395,135200
1396,128300
1397,137000
1398,136900
1399,26650
1400,26780
1401,26800
1402,22560
1403,28150
1404,31950
1405,22300
1406,29830
1407,32350
1408,26450
1409,24720
1410,32090
1411,27390
1412,22500
1413,22900
1414,24470
1415,25460
1416,28570
1417,27990
1418,32690
1419,25460
1420,22500
1421,32690
1422,22900
1423,27990
1424,24470
1425,28570
1426,25495
1427,25495
1428,26045
1429,129900
1430,131200
1431,111200
1432,37590
1433,52860
1434,42680
1435,45580
1436,42890
1437,49960
1438,50780
1439,53680
1440,43810
1441,46500
1442,49880
1443,43600
1444,38510
1445,52780
1446,49650
1447,57590
1448,60490
1449,52550
1450,44900
1451,47800
1452,221990
1453,242990
1454,263990
1455,263990
1456,242990
1457,221990
1458,270990
1459,224990
1460,246990
1461,267990
1462,30935
1463,33810
1464,32905
1465,35780
1466,45270
1467,37115
1468,34730
1469,2000
1470,2000
1471,2000
1472,2000
1473,2000
1474,2000
1475,2000
1476,22050
1477,24450
1478,25195
1479,22695
1480,22930
1481,25430
1482,25690
1483,23690
1484,26195
1485,24195
1486,24430
1487,26430
1488,48165
1489,50165
1490,37995
1491,40445
1492,46935
1493,51435
1494,45150
1495,47095
1496,48205
1497,47750
1498,50325
1499,41920
1500,44935
1501,44520
1502,47605
1503,41920
1504,48675
1505,48715
1506,45445
1507,45150
1508,40445
1509,47750
1510,47445
1511,50675
1512,37995
1513,51945
1514,44520
1515,50835
1516,43395
1517,37595
1518,39995
1519,49495
1520,41395
1521,46995
1522,48995
1523,62665
1524,60465
1525,62895
1526,60695
1527,41340
1528,39340
1529,33215
1530,45615
1531,47615
1532,44660
1533,46715
1534,37245
1535,41340
1536,46660
1537,48715
1538,44660
1539,35245
1540,42660
1541,37340
1542,43340
1543,41340
1544,46110
1545,45155
1546,39340
1547,47155
1548,43155
1549,37245
1550,48110
1551,37340
1552,35245
1553,43340
1554,33215
1555,47210
1556,41340
1557,45155
1558,49210
1559,46995
1560,40395
1561,43995
1562,45995
1563,34595
1564,36595
1565,38395
1566,34794
1567,30619
1568,31615
1569,35085
1570,34725
1571,45815
1572,35725
1573,38830
1574,39405
1575,46195
1576,39350
1577,49500
1578,42455
1579,36300
1580,40195
1581,43245
1582,47000
1583,39850
1584,36800
1585,50305
1586,37800
1587,41700
1588,36470
1589,36650
1590,38100
1591,41950
1592,42550
1593,38700
1594,37250
1595,37170
1596,32285
1597,39980
1598,36080
1599,34140
1600,37050
1601,35850
1602,40450
1603,32650
1604,34400
1605,41050
1606,37650
1607,33250
1608,36450
1609,35000
1610,25995
1611,21495
1612,23995
1613,18995
1614,25695
1615,19795
1616,22595
1617,20595
1618,25795
1619,23295
1620,441600
1621,397500
1622,548800
1623,497650
1624,441600
1625,397500
1626,548800
1627,497650
1628,443800
1629,535500
1630,490700
1631,399500
1632,11965
1633,15365
1634,14100
1635,11965
1636,14100
1637,15365
1638,15365
1639,11965
1640,14100
1641,12115
1642,15365
1643,14250
1644,15365
1645,12115
1646,11965
1647,14250
1648,15365
1649,14100
1650,45125
1651,42175
1652,39485
1653,42435
1654,45705
1655,42755
1656,40290
1657,43240
1658,40635
1659,43585
1660,2000
1661,2000
1662,2000
1663,2000
1664,38200
1665,34000
1666,34100
1667,39300
1668,34100
1669,39300
1670,23820
1671,20870
1672,24190
1673,21275
1674,24445
1675,21530
1676,363000
1677,329990
1678,329990
1679,334990
1680,41450
1681,41450
1682,39900
1683,2179
1684,3323
1685,2915
1686,2756
1687,2692
1688,2930
1689,2717
1690,3033
1691,2713
1692,2432
1693,3514
1694,3696
1695,2593
1696,3538
1697,2870
1698,2211
1699,3206
1700,3119
1701,3214
1702,2853
1703,3221
1704,2493
1705,2946
1706,3011
1707,2857
1708,3229
1709,2801
1710,2637
1711,2961
1712,3107
1713,3394
1714,2689
1715,3768
1716,2350
1717,3289
1718,2413
1719,3928
1720,3579
1721,3032
1722,3190
1723,26590
1724,19675
1725,15535
1726,19040
1727,21430
1728,22045
1729,26590
1730,22045
1731,15535
1732,16060
1733,22150
1734,20030
1735,14990
1736,17225
1737,18485
1738,14545
1739,12345
1740,18360
1741,19340
1742,17545
1743,12495
1744,22085
1745,14695
1746,15125
1747,30695
1748,32395
1749,34195
1750,34295
1751,37695
1752,35895
1753,33895
1754,32295
1755,35895
1756,32295
1757,34195
1758,32395
1759,33895
1760,35695
1761,34295
1762,35695
1763,37695
1764,30695
1765,29995
1766,37295
1767,35495
1768,37295
1769,33495
1770,33495
1771,31995
1772,34495
1773,35495
1774,32495
1775,32495
1776,34495
1777,22795
1778,23995
1779,24995
1780,21995
1781,26295
1782,22345
1783,24345
1784,25345
1785,27245
1786,23145
1787,24595
1788,22495
1789,25595
1790,27495
1791,23295
1792,27295
1793,31795
1794,34895
1795,27295
1796,32755
1797,29395
1798,29395
1799,25170
1800,30495
1801,30695
1802,29395
1803,31195
1804,30695
1805,30755
1806,34895
1807,27295
1808,33795
1809,30095
1810,30495
1811,27295
1812,29395
1813,33795
1814,29395
1815,29995
1816,25170
1817,25170
1818,31795
1819,25170
1820,29395
1821,28895
1822,30295
1823,31995
1824,33995
1825,30195
1826,32595
1827,29595
1828,35095
1829,30425
1830,29595
1831,27475
1832,30895
1833,31125
1834,29675
1835,30995
1836,34875
1837,32595
1838,29895
1839,29095
1840,31395
1841,29895
1842,27475
1843,25595
1844,30425
1845,25595
1846,25995
1847,30995
1848,30895
1849,35975
1850,30775
1851,33995
1852,32225
1853,35975
1854,31495
1855,27995
1856,35095
1857,31995
1858,31495
1859,27995
1860,34875
1861,29790
1862,28070
1863,34950
1864,32670
1865,28070
1866,31570
1867,30500
1868,25995
1869,36050
1870,30890
1871,36050
1872,32670
1873,25490
1874,34950
1875,29790
1876,30890
1877,30500
1878,31570
1879,25490
1880,25995
1881,25895
1882,31625
1883,20195
1884,24185
1885,26985
1886,30525
1887,26195
1888,30525
1889,31625
1890,26195
1891,23085
1892,21795
1893,28115
1894,32475
1895,28675
1896,20695
1897,25450
1898,27710
1899,25450
1900,26550
1901,25885
1902,29215
1903,25095
1904,26430
1905,25885
1906,29625
1907,31375
1908,25095
1909,20695
1910,28525
1911,23085
1912,28810
1913,24705
1914,29215
1915,21795
1916,32475
1917,28115
1918,28675
1919,31375
1920,26550
1921,23605
1922,25330
1923,29775
1924,29775
1925,24705
1926,24185
1927,24795
1928,23605
1929,26985
1930,25995
1931,27095
1932,22450
1933,19795
1934,25975
1935,21350
1936,27095
1937,19595
1938,31450
1939,31450
1940,22450
1941,32550
1942,25975
1943,23995
1944,32550
1945,21350
1946,19795
1947,25995
1948,23995
1949,20475
1950,19995
1951,23995
1952,21890
1953,32550
1954,25975
1955,22450
1956,2000
1957,2000
1958,2000
1959,2000
1960,2000
1961,2000
1962,39030
1963,41675
1964,44580
1965,38625
1966,47885
1967,35980
1968,51785
1969,20745
1970,23745
1971,24695
1972,26695
1973,22845
1974,25230
1975,27230
1976,24055
1977,23255
1978,21055
1979,24305
1980,21305
1981,25480
1982,27480
1983,40905
1984,36620
1985,26695
1986,29670
1987,34020
1988,27185
1989,35270
1990,30035
1991,35585
1992,30350
1993,27965
1994,30995
1995,27995
1996,29995
1997,26245
1998,39995
1999,37995
2000,32995
2001,30995
2002,28295
2003,62100
2004,50400
2005,73500
2006,63300
2007,51400
2008,74600
2009,63900
2010,52100
2011,34745
2012,32215
2013,32660
2014,33395
2015,35345
2016,33920
2017,35870
2018,2000
2019,2000
2020,2000
2021,2000
2022,2000
2023,2000
2024,2000
2025,2000
2026,2000
2027,2000
2028,2000
2029,2000
2030,2000
2031,2308
2032,2585
2033,2396
2034,2620
2035,2872
2036,2474
2037,2774
2038,2996
2039,3248
2040,340990
2041,340990
2042,2000
2043,2000
2044,2000
2045,2000
2046,29490
2047,28795
2048,25695
2049,27695
2050,27395
2051,27690
2052,28495
2053,25395
2054,28745
2055,29695
2056,25495
2057,27645
2058,40400
2059,46050
2060,42575
2061,62950
2062,38400
2063,44050
2064,41050
2065,48590
2066,39050
2067,71900
2068,40575
2069,63900
2070,39400
2071,43125
2072,50800
2073,41125
2074,41275
2075,73250
2076,65250
2077,38950
2078,39275
2079,40950
2080,39850
2081,39500
2082,52000
2083,72800
2084,67000
2085,41675
2086,44650
2087,42650
2088,43675
2089,65200
2090,41500
2091,41850
2092,75000
2093,52900
2094,50900
2095,27170
2096,24170
2097,24170
2098,27170
2099,24120
2100,27120
2101,24700
2102,27100
2103,27450
2104,24950
2105,25500
2106,27850
2107,3555
2108,3996
2109,4330
2110,4472
2111,4661
2112,5739
2113,39950
2114,40450
2115,41200
2116,209990
2117,219990
2118,209990
2119,2631
2120,2837
2121,3137
2122,2000
2123,2000
2124,2000
2125,2000
2126,2000
2127,2000
2128,2473
2129,2568
2130,19600
2131,23175
2132,22300
2133,20475
2134,21475
2135,20600
2136,21475
2137,23175
2138,22300
2139,20600
2140,19600
2141,20475
2142,34900
2143,43800
2144,44090
2145,35990
2146,32990
2147,38990
2148,31990
2149,44390
2150,18740
2151,20555
2152,16880
2153,19995
2154,18060
2155,16975
2156,17995
2157,19995
2158,18620
2159,20585
2160,17380
2161,20585
2162,18585
2163,18730
2164,17380
2165,18765
2166,198973
2167,195840
2168,198190
2169,198190
2170,29205
2171,31205
2172,55505
2173,42405
2174,39505
2175,33505
2176,37305
2177,26005
2178,35105
2179,72305
2180,23705
2181,25145
2182,60705
2183,48300
2184,36800
2185,41300
2186,32700
2187,25700
2188,29800
2189,43300
2190,36300
2191,42905
2192,47905
2193,35605
2194,32600
2195,41905
2196,36905
2197,30405
2198,26600
2199,25905
2200,61140
2201,31905
2202,67140
2203,29980
2204,27995
2205,26790
2206,30140
2207,27995
2208,26790
2209,26790
2210,27995
2211,30140
2212,21855
2213,26940
2214,23355
2215,30210
2216,21025
2217,21860
2218,20360
2219,19530
2220,26405
2221,23405
2222,19930
2223,29460
2224,27190
2225,20760
2226,23030
2227,24530
2228,23905
2229,26905
2230,30460
2231,22260
2232,22200
2233,27440
2234,24155
2235,22450
2236,27155
2237,22510
2238,30710
2239,21010
2240,24780
2241,23280
2242,29710
2243,20180
2244,26150
2245,26150
2246,31370
2247,31370
2248,22970
2249,23840
2250,26310
2251,23840
2252,26310
2253,25715
2254,23070
2255,31370
2256,31370
2257,23070
2258,23840
2259,26310
2260,31370
2261,31370
2262,26310
2263,24685
2264,22385
2265,23040
2266,31790
2267,28610
2268,20840
2269,17490
2270,29145
2271,29125
2272,20455
2273,24435
2274,25305
2275,26485
2276,26470
2277,29730
2278,27935
2279,37250
2280,22650
2281,26595
2282,20995
2283,26725
2284,25205
2285,31650
2286,33855
2287,36950
2288,28535
2289,34310
2290,33420
2291,31145
2292,30055
2293,34010
2294,34280
2295,35020
2296,38110
2297,37810
2298,35665
2299,31540
2300,20955
2301,28595
2302,27385
2303,29245
2304,25865
2305,23310
2306,30765
2307,31855
2308,33460
2309,34720
2310,27305
2311,2000
2312,2000
2313,2000
2314,2000
2315,2000
2316,2000
2317,2000
2318,24155
2319,29615
2320,25770
2321,24940
2322,25145
2323,24360
2324,25975
2325,29495
2326,25985
2327,29505
2328,25155
2329,24370
2330,18380
2331,19835
2332,22225
2333,20130
2334,18630
2335,22520
2336,22995
2337,20555
2338,19055
2339,440000
2340,440000
2341,33065
2342,36065
2343,36065
2344,33065
2345,37065
2346,2066
2347,2103
2348,2241
2349,31305
2350,14230
2351,14030
2352,15730
2353,17030
2354,16830
2355,15530
2356,17410
2357,16105
2358,14435
2359,15905
2360,14235
2361,17610
2362,10135
2363,16290
2364,14610
2365,16090
2366,17510
2367,17710
2368,14410
2369,10325
2370,74100
2371,113600
2372,61700
2373,95500
2374,74800
2375,114700
2376,58300
2377,157300
2378,62300
2379,116500
2380,59600
2381,97200
2382,159600
2383,76200
2384,58900
2385,52600
2386,63800
2387,63800
2388,75200
2389,52600
2390,64100
2391,75200
2392,52600
2393,34275
2394,34095
2395,32995
2396,43575
2397,32995
2398,38085
2399,35375
2400,35375
2401,38085
2402,34095
2403,34275
2404,32670
2405,34655
2406,35755
2407,37820
2408,44355
2409,37820
2410,37820
2411,34475
2412,34475
2413,37820
2414,31570
2415,32670
2416,34655
2417,31570
2418,35755
2419,37820
2420,37820
2421,34475
2422,37820
2423,37820
2424,34475
2425,2000
2426,2000
2427,18140
2428,22005
2429,22705
2430,17340
2431,19535
2432,22935
2433,24810
2434,22235
2435,18370
2436,17570
2437,20335
2438,24110
2439,17670
2440,22335
2441,23035
2442,18470
2443,21235
2444,21815
2445,22040
2446,31995
2447,42595
2448,35795
2449,37995
2450,29995
2451,38795
2452,58295
2453,45695
2454,34995
2455,26995
2456,31995
2457,49195
2458,29995
2459,37995
2460,34995
2461,38995
2462,26995
2463,65945
2464,42795
2465,35995
2466,35890
2467,37995
2468,49195
2469,36890
2470,62495
2471,32890
2472,26995
2473,39890
2474,42795
2475,29995
2476,43995
2477,37390
2478,40140
2479,47995
2480,39995
2481,62295
2482,33595
2483,27995
2484,36595
2485,32995
2486,30995
2487,29995
2488,27995
2489,65945
2490,29995
2491,39995
2492,50995
2493,36895
2494,31995
2495,33895
2496,30245
2497,27995
